rank Youtuber subscribers video_views category Title uploads Country Abbreviation channel_type video_views_rank country_rank channel_type_rank video_views_for_the_last_30_days lowest_monthly_earnings highest_monthly_earnings lowest_yearly_earnings highest_yearly_earnings subscribers_for_last_30_days created_year created_month created_date Gross_tertiary_education_enrollment_(%) Population Unemployment_rate Urban_population Latitude Longitude
246 mujjuu___14 24800000 14655527943 People_&_Blogs mujjuu___14 872 nan nan People 234 nan 8 400222000 100100 1600000 1200000 19200000 900000 2020 May 18 nan nan nan nan nan nan
247 EminemVEVO 24700000 20531704527 Music EminemVEVO 104 United_States US Music 115 73 74 139443000 34900 557800 418300 6700000 100000 2009 May 12 88.2 328239523 14.7 270663028 37.09024 -95.712891
248 Chloe_Ting 24700000 2994726412 Howto_&_Style Chloe_Ting 412 Australia AU Howto 2897 2 7 23263000 5800 93100 69800 1100000 nan 2011 Aug 17 113.1 25766605 5.27 21844756 -25.274398 133.775136
249 KatyPerryVEVO 24600000 23755792542 Music KatyPerryVEVO 175 United_States US Music 82 74 75 88940000 22200 355800 266800 4300000 100000 2009 Dec 13 88.2 328239523 14.7 270663028 37.09024 -95.712891
250 Mark_Rober 24600000 3647987299 Science_&_Technology Mark_Rober 120 United_States US Tech 2178 74 3 88625000 22200 354500 265900 4300000 200000 2011 Oct 20 88.2 328239523 14.7 270663028 37.09024 -95.712891
251 1theK_(ï¿½ï¿½ï¿½ï¿½ï 24500000 23962070944 Music 1theK_(ï¿½ï¿½ï¿½ï¿½ï 18950 South_Korea KR Entertainment 79 6 67 105567000 26400 422300 316700 5100000 nan 2011 Jan 31 94.3 51709098 4.15 42106719 35.907757 127.766922
252 Like_Nastya_AE 24400000 12385924995 Entertainment Like_Nastya_AE 658 United_States US Entertainment 312 75 68 169865000 42500 679500 509600 8200000 400000 2018 Dec 19 88.2 328239523 14.7 270663028 37.09024 -95.712891
253 Amit_Bhadana 24300000 2380248899 Entertainment Amit_Bhadana 17 nan nan People 4054185 nan 7710 5 0 0.02 0.02 0.24 nan 2009 Dec 31 nan nan nan nan nan nan
254 Pen_Movies 24300000 6608773195 Film_&_Animation Pen_Movies 1667 India IN Film 903 53 17 94853000 23700 379400 284600 4600000 300000 2014 Mar 25 28.1 1366417754 5.36 471031528 20.593684 78.96288
255 MrBeast_en_Espaï¿½ï 24200000 2700914170 Entertainment MrBeast_en_Espaï¿½ï 67 Mexico MX Entertainment 3309 10 70 33590000 8400 134400 100800 1600000 100000 2021 Jul 9 40.2 126014024 3.42 102626859 23.634501 -102.552784
256 shfa_show_India 24200000 15724160183 nan shfa_show_India 469 United_Arab_Emirates AE People 203 3 9 151208000 37800 604800 453600 7300000 200000 2019 Apr 1 36.8 9770529 2.35 8479744 23.424076 53.847818
257 Super_JoJo_-_Nursery_Rhymes_&_Kids_Songs 24100000 329774870 nan Super_JoJo_-_Nursery_Rhymes_&_Kids_Songs 36 United_States US Education 40117 77 15 328503000 82100 1300000 985500 15800000 100000 2019 May 31 88.2 328239523 14.7 270663028 37.09024 -95.712891
258 Alejo_Igoa 24100000 10999000479 Comedy Alejo_Igoa 802 Argentina AR Entertainment 376 4 71 401512000 100400 1600000 1200000 19300000 600000 2014 Jan 17 90 44938712 9.79 41339571 -38.416097 -63.616672
259 Daniel_LaBelle 24100000 12916159065 Comedy Daniel_LaBelle 287 nan nan Comedy 290 nan 14 398765000 99700 1600000 1200000 19100000 700000 2009 Mar 11 nan nan nan nan nan nan
260 netd_mï¿½ï¿ 24100000 56106087508 Music netd_mï¿½ï¿ 23491 Turkey TR Music 14 2 76 424815000 106200 1700000 1300000 20400000 200000 2014 Jan 23 23.9 83429615 13.49 63097818 38.963745 35.243322
261 DJ_Snake 24100000 8425505919 Music DJ_Snake 252 United_States US Music 602 77 76 63293000 15800 253200 189900 3000000 nan 2008 Sep 24 88.2 328239523 14.7 270663028 37.09024 -95.712891
262 Diana_and_Roma_ARA 24100000 11041261296 nan Diana_and_Roma_ARA 590 United_States US Entertainment 379 76 70 66884000 16700 267500 200700 3200000 200000 2019 Feb 1 88.2 328239523 14.7 270663028 37.09024 -95.712891
263 KSI 24100000 6002166932 Entertainment KSI 1252 United_Kingdom GB Music 1053 10 76 5439000 1400 21800 16300 261100 nan 2009 Jul 25 60 66834405 3.85 55908316 55.378051 -3.435973
264 Spider_Slack 24000000 13943030228 Comedy Spider_Slack 901 Brazil BR Comedy 252 13 14 761451000 190400 3000000 2300000 36500000 1100000 2020 May 18 51.3 212559417 12.08 183241641 -14.235004 -51.92528
265 Goldmines_Movies 24000000 5652938599 Film_&_Animation Ti_Ti 3 nan nan People 4057888 nan 7725 3 0 0.01 0.01 0.14 nan 2018 Apr 30 nan nan nan nan nan nan
266 Preston 24000000 8279004442 Gaming Preston 4009 United_States US Entertainment 621 78 72 151697000 37900 606800 455100 7300000 200000 2012 Jul 4 88.2 328239523 14.7 270663028 37.09024 -95.712891
267 James_Charles 23900000 4067878931 Entertainment James_Charles 505 United_States US Entertainment 1860 79 73 58126000 14500 232500 174400 2800000 100000 2015 Dec 1 88.2 328239523 14.7 270663028 37.09024 -95.712891
268 Collins_Key 23900000 6582932625 Entertainment Collins_Key 257 United_States US Entertainment 911 79 73 10853000 2700 43400 32600 520900 nan 2011 Aug 9 88.2 328239523 14.7 270663028 37.09024 -95.712891
269 Diana_and_Roma_EN 23900000 7213499085 People_&_Blogs Diana_and_Roma_EN 511 United_States US Entertainment 787 79 73 177769000 44400 711100 533300 8500000 300000 2011 Dec 22 88.2 328239523 14.7 270663028 37.09024 -95.712891
270 Venus_Entertainment 23800000 5663125358 Entertainment Venus_Entertainment 70 nan nan Entertainment 367929 nan 2500 31633 8 127 95 1500 nan 2016 May 17 nan nan nan nan nan nan
271 Troom_Troom 23800000 10414479943 Howto_&_Style Troom_Troom 2425 United_States US Howto 412 80 8 98052000 24500 392200 294200 4700000 100000 2015 Sep 12 88.2 328239523 14.7 270663028 37.09024 -95.712891
272 Enrique_Iglesias 23800000 17688774915 Music Enrique_Iglesias 443 United_States US Music 154 80 77 122914000 30700 491700 368700 5900000 100000 2007 Apr 12 88.2 328239523 14.7 270663028 37.09024 -95.712891
273 Ninja 23700000 2543809954 Gaming Ninja 1732 United_States US Games 3590 81 19 8368000 2100 33500 25100 401700 nan 2011 Nov 11 88.2 328239523 14.7 270663028 37.09024 -95.712891
274 FaZe_Rug 23700000 7451792132 Gaming FaZeRug 0 Canada CA Games 4057944 3885 7268 nan 0 0 0 0 1 2012 Nov 30 68.9 36991981 5.56 30628482 56.130366 -106.346771
275 Mister_Max 23700000 15510153803 People_&_Blogs Mister_Max 1099 United_Kingdom GB Entertainment 208 11 74 32817000 8200 131300 98400 1600000 nan 2014 Sep 22 60 66834405 3.85 55908316 55.378051 -3.435973
276 That_Little_Puff 23700000 20289689389 Pets_&_Animals That_Little_Puff 769 United_States US Animals 118 81 1 755054000 188800 3000000 2300000 36200000 1100000 2020 Aug 29 88.2 328239523 14.7 270663028 37.09024 -95.712891
277 NickyJamTV 23600000 15901824841 Music NickyJamTV 392 nan nan Music 193 3 78 77927000 19500 311700 233800 3700000 100000 2012 Jan 10 nan nan nan nan nan nan
278 Juan_De_Dios_Pantoja 23600000 2135644776 Entertainment Juan_De_Dios_Pantoja 226 Mexico MX People 4529 11 10 46862000 11700 187400 140600 2200000 200000 2014 Jun 9 40.2 126014024 3.42 102626859 23.634501 -102.552784
279 Logan_Paul 23600000 5994002464 Entertainment Logan_Paul 719 United_States US Entertainment 1057 82 75 10803000 2700 43200 32400 518600 nan 2015 Aug 29 88.2 328239523 14.7 270663028 37.09024 -95.712891
280 Maya_and_Mary 23600000 6766461070 Entertainment Maya_and_Mary 552 United_States US Entertainment 883 82 75 44542000 11100 178200 133600 2100000 400000 2013 Aug 30 88.2 328239523 14.7 270663028 37.09024 -95.712891
281 Peppa_Pig_Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ 23600000 7920637200 Film_&_Animation Peppa_Pig_Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ 1251 United_Kingdom GB Film 668 12 19 53589000 13400 214400 160800 2600000 100000 2014 Jul 28 60 66834405 3.85 55908316 55.378051 -3.435973
282 Jelly 23500000 14777034543 Gaming Jelly 6066 United_Kingdom GB Games 229 13 20 41669000 10400 166700 125000 2000000 nan 2014 May 27 60 66834405 3.85 55908316 55.378051 -3.435973
283 Miss_Katy 23500000 14696994366 People_&_Blogs Miss_Katy 1044 United_Kingdom GB Entertainment 235 13 76 59629000 14900 238500 178900 2900000 nan 2014 Nov 17 60 66834405 3.85 55908316 55.378051 -3.435973
284 Tilak 23400000 9465863821 Film_&_Animation Tilak 6672 India IN Film 493 56 20 367347000 91800 1500000 1100000 17600000 900000 2020 Oct 10 28.1 1366417754 5.36 471031528 20.593684 78.96288
285 Valentina_Pontes_ofc 23400000 7926899136 Film_&_Animation Valentina_Pontes_ofc 1291 Brazil BR Entertainment 667 14 77 28285000 7100 113100 84900 1400000 nan 2014 Apr 14 51.3 212559417 12.08 183241641 -14.235004 -51.92528
286 Sesame_Street 23300000 22471357411 Entertainment Sesame_Street 3657 United_States US Entertainment 99 83 78 124187000 31000 496700 372600 6000000 100000 2006 Jan 16 88.2 328239523 14.7 270663028 37.09024 -95.712891
287 Happy_Lives 23200000 2634 Science_&_Technology Happy_Lives 1 United_States US Entertainment 4053372 84 79 6589000000 0 0 0 0 100000 2016 Mar 15 88.2 328239523 14.7 270663028 37.09024 -95.712891
288 Lady_Gaga 23200000 15751661213 People_&_Blogs Lady_Gaga 172 United_States US Music 198 83 79 143169000 35800 572700 429500 6900000 100000 2008 May 15 88.2 328239523 14.7 270663028 37.09024 -95.712891
289 Akshay_Nagwadiya 23200000 7966720147 Entertainment Akshay_Nagwadiya 595 nan nan Entertainment 660 nan 79 321179000 80300 1300000 963500 15400000 900000 2017 Oct 25 nan nan nan nan nan nan
290 Wave_Music_Bhojpuri 23100000 12889240875 Music Wave_Music_Bhojpuri 22578 India IN Music 293 59 81 52678000 13200 210700 158000 2500000 100000 2014 Aug 10 28.1 1366417754 5.36 471031528 20.593684 78.96288
291 GMM_GRAMMY_OFFICIAL 23100000 25579831081 Music GMM_GRAMMY_OFFICIAL 15462 Thailand TH Music 68 4 81 130233000 32600 520900 390700 6300000 nan 2010 Nov 8 49.3 69625582 0.75 35294600 15.870032 100.992541
292 TED 23100000 2551113422 People_&_Blogs TED 4445 United_States US Tech 3568 85 4 13246000 3300 53000 39700 635800 100000 2006 Dec 6 88.2 328239523 14.7 270663028 37.09024 -95.712891
293 unknown_boy_varun 23100000 9299371231 Music unknown_boy_varun 456 India IN Music 506 58 80 304021000 76000 1200000 912100 14600000 700000 2016 Sep 27 28.1 1366417754 5.36 471031528 20.593684 78.96288
294 Kids_TV_-_Nursery_Rhymes_And_Baby_Songs 23100000 13151870846 Shows Kids_TV_-_Nursery_Rhymes_And_Baby_Songs 3781 United_States US Music 282 85 81 128448000 32100 513800 385300 6200000 700000 2013 Aug 30 88.2 328239523 14.7 270663028 37.09024 -95.712891
295 Tsuriki_Show 23000000 31494513067 Entertainment Tsuriki_Show 2905 Germany DE Comedy 34 1 15 756717000 189200 3000000 2300000 36300000 800000 2019 Jul 10 70.2 83132799 3.04 64324835 51.165691 10.451526
296 Technical_Guruji 23000000 3378047383 Science_&_Technology Technical_Guruji 5041 India IN Tech 2420 60 5 22262000 5600 89000 66800 1100000 nan 2015 Oct 19 28.1 1366417754 5.36 471031528 20.593684 78.96288
297 DrossRotzank 23000000 6041264489 Entertainment DrossRotzank 1598 Argentina AR Entertainment 1040 5 80 35539000 8900 142200 106600 1700000 100000 2006 Mar 9 90 44938712 9.79 41339571 -38.416097 -63.616672
298 White_Hill_Music 23000000 10939966484 Entertainment White_Hill_Music 5718 India IN Music 382 60 82 93183000 23300 372700 279500 4500000 100000 2014 Mar 23 28.1 1366417754 5.36 471031528 20.593684 78.96288
299 Ultra_Movie_Parlour 22900000 5320485069 Movies Ultra_Movie_Parlour 1670 India IN Film 1248 61 22 118846000 0 0 0 0 300000 2011 May 17 28.1 1366417754 5.36 471031528 20.593684 78.96288
300 Alan_Becker 22900000 5380073627 Film_&_Animation Alan_Becker 0 United_States US Games 4057944 7700 7453 nan 0 0 0 0 1 2006 Mar 21 88.2 328239523 14.7 270663028 37.09024 -95.712891
301 toyorbabytv 22900000 16298342829 Music toyorbabytv 1159 Jordan JO Music 181 2 83 169056000 42300 676200 507200 8100000 300000 2012 Nov 1 34.4 10101694 14.72 9213048 30.585164 36.238414
302 BabyBus_-_Canciones_Infantiles_&_Videos_para_Niï¿½ï 22900000 13206471140 Education BabyBus_-_Canciones_Infantiles_&_Videos_paraï¿½ 1251 Mexico MX Education 278 12 17 136821000 34200 547300 410500 6600000 200000 2018 Mar 19 40.2 126014024 3.42 102626859 23.634501 -102.552784
303 KL_BRO_Biju_Rithvik 22800000 17988347989 Entertainment KL_BRO_Biju_Rithvik 1841 nan nan Entertainment 143 nan 79 2033000000 508100 8100000 6100000 97600000 3200000 2020 Jul 21 nan nan nan nan nan nan
304 Vania_Mania_Kids 22700000 10115316784 People_&_Blogs Vania_Mania_Kids 985 United_States US Education 438 87 18 155215000 38800 620900 465600 7500000 300000 2015 Sep 9 88.2 328239523 14.7 270663028 37.09024 -95.712891
305 Like_Nastya_PRT 22700000 11568118121 Entertainment Like_Nastya_PRT 654 nan nan Entertainment 344 nan 82 96613000 24200 386500 289800 4600000 100000 2019 Apr 9 nan nan nan nan nan nan
306 Sun_TV 22600000 20847038152 People_&_Blogs Sun_TV 60964 India IN Entertainment 109 63 82 982238000 245600 3900000 2900000 47100000 600000 2016 Feb 26 28.1 1366417754 5.36 471031528 20.593684 78.96288
307 Heroindori 22600000 9223534599 Comedy Heroindori 495 India IN Entertainment 508 62 81 399152000 99800 1600000 1200000 19200000 1400000 2020 Jun 29 28.1 1366417754 5.36 471031528 20.593684 78.96288
308 The_Chainsmokers 22600000 14231943358 Music The_Chainsmokers 180 United_States US Music 246 88 84 81660000 20400 326600 245000 3900000 100000 2012 Sep 22 88.2 328239523 14.7 270663028 37.09024 -95.712891
309 mmoshaya 22600000 17507060680 People_&_Blogs mmoshaya 1189 Saudi_Arabia SA Entertainment 156 1 83 73829000 18500 295300 221500 3500000 100000 2010 Dec 11 68 34268528 5.93 28807838 23.885942 45.079162
310 Sia 22600000 13405849040 Music Sia 171 United_States US Music 273 88 84 95253000 23800 381000 285800 4600000 nan 2007 Nov 19 88.2 328239523 14.7 270663028 37.09024 -95.712891
311 LeoNata_Family 22600000 27084848152 People_&_Blogs LeoNata_Family 2321 United_States US People 57 87 11 1174000000 293500 4700000 3500000 56300000 1300000 2021 Sep 28 88.2 328239523 14.7 270663028 37.09024 -95.712891
312 Goldmines_Cineplex 22500000 2431154438 Film_&_Animation Goldmines_Cineplex 3377 India IN Film 3793 64 23 48740000 12200 195000 146200 2300000 200000 2015 Sep 12 28.1 1366417754 5.36 471031528 20.593684 78.96288
313 Vlad_and_Niki_Arabic 22500000 10613701948 nan Vlad_and_Niki_Arabic 526 United_States US Entertainment 399 89 84 65066000 16300 260300 195200 3100000 100000 2018 Nov 9 88.2 328239523 14.7 270663028 37.09024 -95.712891
314 SSundee 22500000 13835173331 Gaming SSundee 3315 United_States US Games 261 90 21 175094000 43800 700400 525300 8400000 200000 2009 Nov 28 88.2 328239523 14.7 270663028 37.09024 -95.712891
315 Paulo_Londra 22400000 8040036209 Music Paulo_Londra 58 Argentina AR Music 648 6 85 72242000 18100 289000 216700 3500000 nan 2016 Aug 8 90 44938712 9.79 41339571 -38.416097 -63.616672
316 Smile_Family 22300000 8663830163 People_&_Blogs SMILE_Family 34 France FR Music 3805801 3046 4509 735 0.18 3 2 35 10 2019 Nov 3 65.6 67059887 8.43 54123364 46.227638 2.213749
317 FGTeeV 22300000 24059336857 Gaming FGTeeV 1724 United_States US Games 77 91 22 132110000 33000 528400 396300 6300000 100000 2013 May 24 88.2 328239523 14.7 270663028 37.09024 -95.712891
318 Kinder_Spielzeug_Kanal_(Kidibli) 22200000 11136266461 Entertainment Kinder_Spielzeug_Kanal_(Kidibli) 999 United_States US Entertainment 370 92 86 139333000 34800 557300 418000 6700000 200000 2015 Sep 25 88.2 328239523 14.7 270663028 37.09024 -95.712891
319 Charlie_Puth 22000000 9924807127 Music Charlie_Puth 157 United_States US Music 449 94 86 111500000 27900 446000 334500 5400000 100000 2009 Sep 9 88.2 328239523 14.7 270663028 37.09024 -95.712891
320 Vlad_and_Niki_ESP 22000000 8594440895 nan Vlad_and_Niki_ESP 515 United_States US Entertainment 591 93 87 183871000 46000 735500 551600 8800000 200000 2018 Oct 11 88.2 328239523 14.7 270663028 37.09024 -95.712891
321 Sagawa_/ï¿½ï¿½ï¿½ 22000000 18347969186 Entertainment Sagawa_/ï¿½ï¿½ï¿½ 6274 Japan JP Entertainment 144 3 88 711254000 177800 2800000 2100000 34100000 800000 2021 Feb 13 63.2 126226568 2.29 115782416 36.204824 138.252924
322 Ben_Azelart 21900000 4454917643 Film_&_Animation Ben_Azelart 301 United_States US Entertainment 1620 94 88 184946000 46200 739800 554800 8900000 500000 2014 Jun 5 88.2 328239523 14.7 270663028 37.09024 -95.712891
323 Zach_Choi_ASMR 21900000 5918314128 People_&_Blogs Zach_Choi_ASMR 946 United_States US People 1069 94 12 234222000 58600 936900 702700 11200000 400000 2014 Jul 5 88.2 328239523 14.7 270663028 37.09024 -95.712891
324 Topper_Guild 21900000 15552070846 Comedy Topper_Guild 816 United_States US Comedy 204 91 16 687028000 171800 2700000 2100000 33000000 1900000 2014 Jul 9 88.2 328239523 14.7 270663028 37.09024 -95.712891
325 Disney_Latinoamï¿½ï¿½ 21900000 20657571751 Entertainment disneylatinoamerica 116 Mexico MX Music 1277277 2973 4085 4719 1 19 14 227 nan 2008 Apr 7 40.2 126014024 3.42 102626859 23.634501 -102.552784
326 Stokes_Twins 21800000 4469711607 People_&_Blogs Stokes_Twins 257 United_States US People 1610 95 13 197953000 49500 791800 593900 9500000 600000 2008 Apr 11 88.2 328239523 14.7 270663028 37.09024 -95.712891
327 National_Geographic 21800000 5614621131 Science_&_Technology National_Geographic 10162 United_States US Entertainment 1158 95 89 45812000 11500 183200 137400 2200000 100000 2006 May 7 88.2 328239523 14.7 270663028 37.09024 -95.712891
328 Dua_Lipa 21800000 11288359365 Music Dua_Lipa 164 United_Kingdom GB Music 368 14 87 128047000 32000 512200 384100 6100000 100000 2011 Feb 5 60 66834405 3.85 55908316 55.378051 -3.435973
329 OneDirectionVEVO 21800000 12140232004 Music OneDirectionVEVO 266 United_Kingdom GB Music 322 14 87 51134000 12800 204500 153400 2500000 nan 2010 Dec 4 60 66834405 3.85 55908316 55.378051 -3.435973
330 Rotana 21800000 19329351143 Music rotana5018 135 nan nan Music 926975 nan 2709 10571 3 42 32 507 100 2011 Oct 27 nan nan nan nan nan nan
331 Netflix_India 21800000 7780934187 People_&_Blogs NETFLIX_INDIA 1 nan nan People 4052308 nan 7665 408 0 0 0 0 nan 2017 Sep 24 nan nan nan nan nan nan
332 Sourav_Joshi_Vlogs 21700000 9392093496 People_&_Blogs Sourav_Joshi_Vlogs 1390 nan nan People 498 nan 13 265336000 66300 1100000 796000 12700000 400000 2019 Feb 19 nan nan nan nan nan nan
333 ZAMZAM_ELECTRONICS_TRADING 21700000 8507818877 nan ZAMZAM_ELECTRONICS_TRADING 15126 United_Arab_Emirates AE People 608 4 14 1598000000 399600 6400000 4800000 76700000 3400000 2020 Dec 19 36.8 9770529 2.35 8479744 23.424076 53.847818
334 DUDU_e_CAROL 21600000 9597894786 Autos_&_Vehicles DUDU_e_CAROL 2942 Brazil BR Entertainment 481 15 90 193174000 48300 772700 579500 9300000 300000 2013 Mar 2 51.3 212559417 12.08 183241641 -14.235004 -51.92528
335 Village_Cooking_Channel 21600000 5863377051 Howto_&_Style Village_Cooking_Channel 219 India IN Howto 1082 66 9 194604000 48700 778400 583800 9300000 400000 2018 Apr 25 28.1 1366417754 5.36 471031528 20.593684 78.96288
336 Eva_Bravo_Play 21600000 9346383505 Entertainment Eva_Bravo_Play 228 United_States US Entertainment 507 96 90 63919000 16000 255700 191800 3100000 nan 2019 May 7 88.2 328239523 14.7 270663028 37.09024 -95.712891
337 Tekashi_6ix9ine 21500000 5890180734 People_&_Blogs Tekashi_6ix9ine 51 United_States US Music 1081 96 88 113542000 28400 454200 340600 5400000 200000 2018 Apr 6 88.2 328239523 14.7 270663028 37.09024 -95.712891
338 Tlnovelas 21500000 15013096899 News_&_Politics tlnovelas 158 Mexico MX Entertainment 1936958 2063 2940 15459 4 62 46 742 nan 2014 Jan 2 40.2 126014024 3.42 102626859 23.634501 -102.552784
339 SMOL 21500000 22065582014 People_&_Blogs Claudio 6 nan nan Music 4057657 nan 5782 3 0 0.01 0.01 0.14 nan 2006 Apr 2 nan nan nan nan nan nan
340 invictor 21500000 8409641722 Gaming INVICTOR 17 Chile CL People 4038708 2889 7518 49 0.01 0.2 0.15 2 4 2016 Jul 26 88.5 18952038 7.09 16610135 -35.675147 -71.542969
341 YOLO 21400000 1573058816 Comedy YOLO 0 Germany DE nan 4057944 3810 nan nan 0 0 0 0 5 2013 Jun 11 70.2 83132799 3.04 64324835 51.165691 10.451526
342 Sidhu_Moose_Wala 21400000 6264261757 Music Sidhu_Moose_Wala 114 India IN Music 987 67 89 160690000 40200 642800 482100 7700000 500000 2017 Oct 30 28.1 1366417754 5.36 471031528 20.593684 78.96288
343 The_Royalty_Family 21300000 6269945014 People_&_Blogs The_Royalty_Family 733 United_States US People 982 98 15 160227000 40100 640900 480700 7700000 200000 2017 Apr 13 88.2 328239523 14.7 270663028 37.09024 -95.712891
344 Becky_G 21300000 10644857969 Music Becky_G 78 United_States US Music 396 98 90 103171000 25800 412700 309500 5000000 100000 2011 Sep 6 88.2 328239523 14.7 270663028 37.09024 -95.712891
345 Ishaan_Ali_11 21300000 12761253839 People_&_Blogs Ishaan_Ali_11 951 India IN People 301 68 16 729409000 182400 2900000 2200000 35000000 1600000 2016 Jul 27 28.1 1366417754 5.36 471031528 20.593684 78.96288
346 Infinite 21300000 5141834668 Entertainment Infinite 1608 United_States US Entertainment 1296 98 93 68350000 17100 273400 205100 3300000 200000 2014 Aug 21 88.2 328239523 14.7 270663028 37.09024 -95.712891
347 Azhan5star 21300000 10047736580 Entertainment Azhan5star 669 India IN Entertainment 436 67 92 236293000 59100 945200 708900 11300000 600000 2021 Feb 2 28.1 1366417754 5.36 471031528 20.593684 78.96288
348 Dangal_TV_Channel 21300000 12895427184 Entertainment Dangal_TV_Channel 20225 India IN Entertainment 291 67 92 561020000 140300 2200000 1700000 26900000 700000 2017 Aug 2 28.1 1366417754 5.36 471031528 20.593684 78.96288
349 Khan_GS_Research_Centre 21200000 2073073070 Education KHAN_GS_RESEARCH_CENTRE 1 nan nan People 4057930 nan 7727 nan 0 0 0 0 nan 2017 Jan 5 nan nan nan nan nan nan
350 GMA_Public_Affairs 21200000 11364908616 Entertainment GMA_Public_Affairs 31989 Philippines PH News 359 4 7 142317000 35600 569300 427000 6800000 200000 2009 Aug 8 35.5 108116615 2.15 50975903 12.879721 121.774017
351 Tasty 21100000 5783557209 Howto_&_Style Tasty 4728 United_States US Howto 1113 99 10 24691000 6200 98800 74100 1200000 nan 2016 Jan 22 88.2 328239523 14.7 270663028 37.09024 -95.712891
352 Baim_Paula 21100000 4526271677 People_&_Blogs Baim_Paula 2325 Indonesia ID Entertainment 1583 8 94 26974000 6700 107900 80900 1300000 100000 2016 Jun 4 36.3 270203917 4.69 151509724 -0.789275 113.921327
353 nigahiga 21000000 4380564906 Entertainment nigahiga 403 United_States US Entertainment 1671 100 95 2476000 619 9900 7400 118900 nan 2006 Jul 21 88.2 328239523 14.7 270663028 37.09024 -95.712891
354 Rafa_&_Luiz 21000000 7762905663 Entertainment Rafa_&_Luiz 2883 Brazil BR Entertainment 695 16 94 118410000 29600 473600 355200 5700000 400000 2015 Aug 26 51.3 212559417 12.08 183241641 -14.235004 -51.92528
355 Lyrical_Lemonade 21000000 10631638628 Entertainment Lyrical_Lemonade 420 United_States US Entertainment 398 100 95 80062000 20000 320200 240200 3800000 100000 2013 Mar 25 88.2 328239523 14.7 270663028 37.09024 -95.712891
356 Vlad_and_Niki_IDN 21000000 9789121606 nan Vlad_and_Niki_IDN 498 United_States US Entertainment 464 100 95 133362000 33300 533400 400100 6400000 300000 2018 Nov 9 88.2 328239523 14.7 270663028 37.09024 -95.712891
357 Dr._Vivek_Bindra:_Motivational_Speaker 20900000 1693149479 Education Dr._Vivek_Bindra:_Motivational_Speaker 896 India IN Education 6082 69 20 28588000 7100 114400 85800 1400000 100000 2013 Dec 6 28.1 1366417754 5.36 471031528 20.593684 78.96288
358 Fatos_Desconhecidos 20900000 3828000587 Entertainment Fatos_Desconhecidos 6262 Brazil BR Entertainment 2033 17 96 52330000 13100 209300 157000 2500000 100000 2013 Sep 26 51.3 212559417 12.08 183241641 -14.235004 -51.92528
359 Brave_Wilderness 20900000 4927879069 Pets_&_Animals Brave_Wilderness 982 United_States US Animals 1396 100 2 2989000 0 0 0 0 100000 2014 Sep 8 88.2 328239523 14.7 270663028 37.09024 -95.712891
360 LIV_Crime 20900000 11058049885 People_&_Blogs LIV_Crime 9850 United_States US People 372 100 17 383700000 95900 1500000 1200000 18400000 600000 2020 Aug 18 88.2 328239523 14.7 270663028 37.09024 -95.712891
361 Minecraft_-_Topic 20900000 0 nan Minecraft_-_Topic 0 nan nan Games 4057944 nan 24 nan 0 0 0 0 300000 2013 Dec 20 nan nan nan nan nan nan
362 Romeo_Santos 20900000 17324976752 Music RomeoSantos 6 United_States US Music 2595710 5417 4067 99 0.02 0.4 0.3 5 nan 2006 Jul 31 88.2 328239523 14.7 270663028 37.09024 -95.712891
363 Canal_Canalha 20800000 1870608170 Comedy Canal_Canalha 288 Brazil BR Comedy 5407 18 18 23897000 6000 95600 71700 1100000 nan 2011 Apr 8 51.3 212559417 12.08 183241641 -14.235004 -51.92528
364 Kurzgesagt_ï¿½ï¿½ï¿½ï¿½ï¿½ï¿ 20800000 2378448129 Education Kurzgesagt_ï¿½ï¿½ï¿½ï¿½ï¿½ï¿ 193 Germany DE Education 3914 2 21 29269000 7300 117100 87800 1400000 100000 2013 Jul 9 70.2 83132799 3.04 64324835 51.165691 10.451526
365 Yoeslan 20700000 17963202261 Entertainment Yoeslan 619 United_States US Entertainment 146 101 96 874796000 218700 3500000 2600000 42000000 1000000 2020 Sep 26 88.2 328239523 14.7 270663028 37.09024 -95.712891
366 5-Minute_Crafts_DIY 20700000 5091618606 Howto_&_Style 5-Minute_Crafts_DIY 5062 United_States US Howto 1334 103 11 20012000 5000 80000 60000 960600 nan 2018 Jan 18 88.2 328239523 14.7 270663028 37.09024 -95.712891
367 Zach_King 20700000 5410164682 Entertainment Zach_King 6 nan nan Entertainment 3997461 nan 4664 125 0.03 0.5 0.38 6 10 2013 Jun 5 nan nan nan nan nan nan
368 tuzelity_SHUFFLE 20700000 8658941531 People_&_Blogs tuzelity_SHUFFLE 889 Russia RU People 570 3 18 552266000 138100 2200000 1700000 26500000 1600000 2015 Oct 26 81.9 144373535 4.59 107683889 61.52401 105.318756
369 NBA 20700000 12624879732 Sports NBA 47926 United_States US Sports 304 103 4 73025000 18300 292100 219100 3500000 nan 2005 Nov 21 88.2 328239523 14.7 270663028 37.09024 -95.712891
370 Deddy_Corbuzier 20600000 4956090094 Entertainment deddycorbuzier 15 Indonesia ID Entertainment 3539124 4044 6217 85 0.02 0.34 0.26 4 1 2007 Jul 23 36.3 270203917 4.69 151509724 -0.789275 113.921327
